term,catalog_year,prefix,number,title,description,units,sections_offered,url
Fall 2025,2025-2026,,,BIO 433CH - Bioethics - Honors,"This course introduces students to bioethics as an interdisciplinary subject through critical thinking, writing, and discussing contemporary issues. Bioethics considers the ethical principles and values relevant to life, and their application to the use of technology. This course examines some major moral issues involved in the practice and research of medicine, health care, and biological research methods. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=014358&term=1257
Fall 2025,2025-2026,ACC,205,Introduction To Business Law,"An introduction to business-related legal, regulatory, global, and ethical issues. Topics include contract law, intellectual property, employment law, business structures, and alternative dispute resolution. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=000799&term=1257
Fall 2025,2025-2026,ACC,205H,Introduction To Business Law - Honors,"An introduction to business-related legal, regulatory, global, and ethical issues. Topics include contract law, intellectual property, employment law, business structures, and alternative dispute resolution. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=010175&term=1257
Fall 2025,2025-2026,ACC,340,Accounting Ethics,"This course is a study of accounting ethics, related professional responsibilities and their relationships with business issues. It covers the identification of ethical issues, analysis of the issues using a multiple frameworks and theories, and development of conclusions and action items to resolve those issues. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=011912&term=1257
Fall 2025,2025-2026,ACC,340H,Accounting Ethics - Honors,"This course is a study of accounting ethics, related professional responsibilities and their relationships with business issues. It covers the identification of ethical issues, analysis of the issues using a multiple frameworks and theories, and development of conclusions and action items to resolve those issues. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=013386&term=1257
Fall 2025,2025-2026,ACC,365,Risk Management And Compliance,"Businesses must comply with certain policies and laws as set forth by the government. This course examines the development of the relationship between businesses and the government, exploring ethical decision-making and high-risk choices that may lead to legal and financial repercussions. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=014413&term=1257
Fall 2025,2025-2026,ACC,405,Advanced Business Law,"In-depth study of legal issues related to advising businesses from an accounting or senior management perspective, including contract law, securities law, administrative law, employment law, ethics and other legal topics.  Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=000802&term=1257
Fall 2025,2025-2026,ACC,580,Advanced Auditing,"This is an advanced course in auditing and assurance services that builds on what was learned in the introductory auditing course. It covers professional ethics and responsibilities as well as the skills needed to perform auditing, attestation, and accounting and review service engagements. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=000048&term=1257
Fall 2025,2025-2026,ANT,467,Storytelling Matters: Publishing Knowledge In Multiple Forms,"Stories make up the foundation of the social sciences. This workshop-style course includes skills to identify and craft stories, find audiences, and submit work for publication in different types of outlets. Students may choose to craft manuscripts for scholarly journals, policy briefs, news articles, literary works, or other media based on data collection and research and/or personal experience. Content includes ethics and practices of authorship and storytelling for public scholarship. Course is co-convened and includes an element of mentorship between graduate and undergraduate students. Co-convened with ANT 567. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=014444&term=1257
Fall 2025,2025-2026,ANT,520,Ethics In Anthropological Research,Explores ethical principles and dilemmas encountered in anthropological research. Includes principles for protecting humans in research and strategies for thinking through ethical dilemmas in anthropological research. M.A. in Anthropology or Senior-level undergraduate major in Anthropology. Letter grade only.,1,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=012298&term=1257
Fall 2025,2025-2026,ANT,521,"Research Ethics, Community Research, And Vulnerable Populations","This course covers principles and practical application for conducting research and/or disseminating research in community settings and among vulnerable or diverse populations.  Students will explore basic ethical principles and dilemmas in vulnerable populations; mechanisms for identifying and resolving ethical dilemmas; exploration of and resolution of a current ethical problem in research among minority, vulnerable and community groups. Department consent required. Letter grade only.",1,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=010418&term=1257
Fall 2025,2025-2026,ANT,522,Research Ethics In Cross-cultural And International Contexts,"The course covers theory and application of research principles for cross-cultural and international ethics research. The course includes cross-cultural and international research projects; the ethics guidelines for protecting people from physical, social or psychological harm, mechanisms for identifying and resolving ethical dilemmas; practical exploration and resolution of current ethical problems in cross-cultural and international research. Department consent required. Letter grade only.",1,,https://catalog.nau.edu/Courses/course?courseId=010419&term=1257
Fall 2025,2025-2026,ANT,567,Storytelling Matters: Publishing Knowledge In Multiple Forms,"Stories make up the foundation of the social sciences. This workshop style course includes skills to identify and craft stories, find audiences, and submit work for publication in different types of outlets. Students may choose to craft manuscripts for scholarly journals, policy briefs, news articles, literary works, or other media based on data collection and research and/or personal experience. Content includes ethics and practices of authorship and storytelling for public scholarship. Course is co-convened and includes an element of mentorship between graduate and undergraduate students. Co-convened with ANT 467. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=014445&term=1257
Fall 2025,2025-2026,ANT,607,Pre-internship Seminar,"Preparation for internship. Includes training in developing, presenting, and evaluating position papers, proposals, and work plans; literature search and use of secondary data; ethics and professional development for work outside academia. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=000405&term=1257
Fall 2025,2025-2026,AT,510,Ethics In Athletic Training Practice,"This course provides the graduate student with the study of ethical practice within the profession of athletic training. From our national professional code of ethics to our state licensure law to diversity issues, this course outlines how students are expected to exhibit professional behavior both now and long into their career. Letter grade only.",1,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=011380&term=1257
Fall 2025,2025-2026,AT,555,Evidence Based Practice In Athletic Training II,"This course is designed to help the student learn basic scientific research knowledge. Topics addressed will include research design, statistics, evidence-based practice research, critical appraisal of research, and ethics in research. This course will also serve to enhance decision-making and problem-solving skills when interpreting research reports of athletic training studies. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=011389&term=1257
Fall 2025,2025-2026,AT,620,Administration In Athletic Training Practice,"This course provides the student with the background and skills necessary to administer and manage an Athletic Training Program. Topics such as athletic training program management, budget, insurance, facility design, legal issues, and ethics in the profession of athletic training will be discussed.  Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=011391&term=1257
Fall 2025,2025-2026,BA,609,"Business Law, Ethics And Corporate Governance","The course focuses on several areas of substantive commercial law relevant to the business manager, and is designed to foster the manager's ability to recognize legal and ethical issues and there managerial implications, minimize the frequency and expense of legal conflict and litigation, as well as to discern the distinction between what is legal, what is ethical, and what is in the best interests of the firm and its stakeholders. Moreover, this course examines the role and impact of corporate governance. In particular, students will examine and evaluate approaches to enhance corporate accountability, foster an ethical work environment, ensure legal compliance, and provide effective leadership in an organization. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=013605&term=1257
Fall 2025,2025-2026,BA,657,Strategic Marketing Management,Overview of the role marketing plays in developing business strategy and operations. How to think strategically about an organization's customer-driven purpose and how to deliver profitable offerings. Use insight and frameworks to make marketing decisions. Develop and evaluate marketing strategies and tactics. Explore select ethical issues that arise in marketing practice. Letter grade only.,3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=013610&term=1257
Fall 2025,2025-2026,BA,687,Professional Development Seminar,"This course offers enrichment activities geared to building vital business life-skills.  Students will build confidence and skills in the areas of:  career development, business ethics and international practices.  Letter grade only.  May be repeated for three units of credit.",1,,https://catalog.nau.edu/Courses/course?courseId=000857&term=1257
Fall 2025,2025-2026,BBA,205,"Legal, Ethical, Regulatory, And Global Environment Of Business","Basic coverage of the environment of business, including legal and ethical issues and the regulatory and global environment of business that affect business policies and decisions.  Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=011592&term=1257
Fall 2025,2025-2026,BBA,310,Principles Of Marketing In A Global Economy,"An orientation to basic marketing concepts and practices.  Topics include the impact of external forces on marketing decisions; marketing strategies, marketing aspects of business ethics and social responsibility.  Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=010188&term=1257
Fall 2025,2025-2026,BBA,350,Professional Practices And Ethics In Information Technology,"Examines interaction of IT professionals with the organization, profession, and governmental agencies, including regulatory compliance monitoring, legal requirements, staff development, and environmental conduct.  Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=010408&term=1257
Fall 2025,2025-2026,BBA,408,Fieldwork Experience,"The role of the general manager in dealing with strategic business challenges and providing leadership to the organization; integration of functional areas, policy formulation and implementation, multinational and ethical issues. Pass-fail only. May be repeated for up to 6 units of credit.",1-6,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=010270&term=1257
Fall 2025,2025-2026,BBA,471C,Business Ethics,"Analyzes business and its environment, considering such things as the natural environment, business ethics, government policies, impact of technology, and cultural diversity. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=010422&term=1257
Fall 2025,2025-2026,BBA,490C,Strategic Management,"The role of the general manager in dealing with strategic business challenges and providing leadership to the organization; integration of functional areas, policy formulation and implementation, multinational and ethical issues. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=010279&term=1257
Fall 2025,2025-2026,BIO,433C,Bioethics,"This course introduces students to bioethics as an interdisciplinary subject through critical thinking, writing, and discussing contemporary issues. Bioethics considers the ethical principles and values relevant to life, and their application to the use of technology. This course examines some major moral issues involved in the practice and research of medicine, health care, and biological research methods. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=013885&term=1257
Fall 2025,2025-2026,BIO,458,Success In Research Part I,"This course serves students participating in BS programs across four colleges (CEFNS, SBS, CHHS, and CEIAS). The purpose of this course is to provide students with the practical skill, knowledge and training to successfully conduct research, compete for graduate programs and research funding. Students will receive practical training in research ethics, responsible conduct in research, as well as training in writing for research and presenting results in writing and for conferences. We will also provide Title IX training, and guide students in navigating the complexities of life/work in the sciences.   Instructor consent required. Students must be junior level or higher and conducting independent research. This course is on environmental health topics. Co-convened with BIO 558. Letter grade only",2,,https://catalog.nau.edu/Courses/course?courseId=012813&term=1257
Fall 2025,2025-2026,BIO,458H,Success In Research Part I - Honors,"This course serves students participating in BS programs across four colleges (CEFNS, SBS, CHHS, and CEIAS). The purpose of this course is to provide students with the practical skill, knowledge and training to successfully conduct research, compete for graduate programs and research funding. Students will receive practical training in research ethics, responsible conduct in research, as well as training in writing for research and presenting results in writing and for conferences. We will also provide Title IX training, and guide students in navigating the complexities of life/work in the sciences. Instructor consent required. Students must be junior level or higher and conducting independent research. This course is on environmental health topics. Letter grade only",2,,https://catalog.nau.edu/Courses/course?courseId=013586&term=1257
Fall 2025,2025-2026,BIO,459,Success In Environmental Health Research Part 2,"This course serves junior-level students participating in research programs in Biological Sciences, Health and Human Services and Social and Behavioral Studies. The purpose of this course is to provide students with the practical skill, knowledge and training to successfully conduct research, compete for graduate programs and research funding. Students will receive practical training in research ethics, responsible conduct in research, as well as training in writing for research and presenting results in writing and for conferences. We will also provide Title IX training, and guide students in navigating the complexities of life/work in the sciences. Co-convened with BIO 559. Letter grade only.",2,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=013242&term=1257
Fall 2025,2025-2026,BIO,459H,Success In Environmental Health Research Part 2 - Honors,"This course serves junior-level students participating in research programs in Biological Sciences, Health and Human Services and Social and Behavioral Studies. The purpose of this course is to provide students with the practical skill, knowledge and training to successfully conduct research, compete for graduate programs and research funding. Students will receive practical training in research ethics, responsible conduct in research, as well as training in writing for research and presenting results in writing and for conferences. We will also provide Title IX training, and guide students in navigating the complexities of life/work in the sciences. Letter grade only.",2,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=013649&term=1257
Fall 2025,2025-2026,BIO,558,Success In Research Part I,"This course serves students participating in MS programs in across four colleges (CEFNS, SBS, CHHS, and CEIAS). The purpose of this course is to provide students with the practical skill, knowledge and training to successfully conduct research, compete for PhD programs, research funding and careers in research and academia. Students will receive practical training in research ethics, responsible conduct in research, as well as training in writing for research and presenting results in writing and for conferences. We will also provide Title IX training, and guide students in navigating the complexities of life/work in the sciences. Instructor consent required. Letter grade only. Students must be admitted to a thesis-based MS program at NAU. Co-convened with BIO 458. Letter grade only.",2,,https://catalog.nau.edu/Courses/course?courseId=012776&term=1257
Fall 2025,2025-2026,BIO,559,Success In Environmental Health Research Part 2,"This course serves first year MS students (2nd semester) participating in programs in Biological Sciences, Health and Human Services and Social and Behavioral Studies. The purpose of this course is to provide students with the practical skill, knowledge and training to successfully conduct research, compete for graduate programs and research funding. Students will receive practical training in research ethics, responsible conduct in research, as well as training in writing for research and presenting results in writing and for conferences. We will also provide Title IX training, and guide students in navigating the complexities of life/work in the sciences. Co-convened with BIO 459. Letter grade only.",2,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=013243&term=1257
Fall 2025,2025-2026,BSC,396,Ethics In Science,This course will provide students the opportunity to discuss the role of ethics in the realm of science. Letter grade only.,1,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=012815&term=1257
Fall 2025,2025-2026,CENE,386W,Engineering Design: The Methods,"This course builds upon the engineering design analysis learned in CENE 286.  Design methods will be studied through the application of the hydraulics principles learned in CENE 333. These methods include hands-on experience in solving design problems involving hydraulic concepts and their applications using instrumentation, lab work, field work, and software analysis. Course content also includes professional ethics, engineering economics, and documentation using various technical writing methods and tools. 2 hrs. lecture, 3 hrs. lab. This course is required for civil engineering and environmental engineering majors. This course fulfills NAU's junior-level writing requirement. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=001228&term=1257
Fall 2025,2025-2026,CIT,500,Introduction To Graduate Studies And Research,"This course introduces students to foundational IT topics and technologies that have the potential to significantly impact business organizations. Students will examine IT topics such as hardware, software, networking, virtualization, security and risks, large-scale information systems, business processes, ethics in IT. The concepts of big data and analytics, mobile and Web applications, and technical troubleshooting will also be studied. Students will be introduced to using scholarly resources and engaging in scholarly research to discover current research trends and outcomes in IT. This course is an important component of the MCIT program as it prepares students for the remainder of their program by introducing a breadth of IT topics to which students can refer and to which research and synthesis skills can be applied when engaging in scholarly activities. Those serving in supervisory and managerial roles in the IT domain need a broad understanding of key IT areas impacting business organizations, and this course satisfies that need. Students will build upon this course during the remainder of their program by exploring additional IT topics more deeply and by learning how to engage in research within the IT domain. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=012581&term=1257
Fall 2025,2025-2026,CIT,621,"Cybersecurity Policy, Cyberethics, And Compliance","The intent of this course is to provide students with several of the major ethical, political, and compliance issues related to information security and cybersecurity. This course will explore legal and ethical issues in computer and network security and analyze business practices in creating security policies, as well as the ethical responsibilities of securing and protecting organizational systems. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=012591&term=1257
Fall 2025,2025-2026,CM,489,Construction Project Administration,"Concepts and skills required for construction project administration including the examination of contracts, laws, regulations, and ethical responsibilities that influence construction contracting relationships. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=001599&term=1257
Fall 2025,2025-2026,CM,489H,Construction Project Administration - Honors,"Concepts and skills required for construction project administration including the examination of contracts, laws, regulations, and ethical responsibilities that influence construction contracting relationships. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=014237&term=1257
Fall 2025,2025-2026,COM,470,Communication Ethics,Analysis of ethical decision-making and moral behavior in communication situations. Focus on professional codes of ethics and case ethics. Letter grade only.,3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=009659&term=1257
Fall 2025,2025-2026,COM,470H,Communication Ethics - Honors,Analysis of ethical decision-making and moral behavior in communication situations. Focus on professional codes of ethics and case ethics. Letter grade only.,3,,https://catalog.nau.edu/Courses/course?courseId=013589&term=1257
Fall 2025,2025-2026,COM,542,Ethics And Strategies In Science Communication,"Examination of statistical significance, the use of math skills to ""translate"" numbers into forms that contribute to understanding, and how quantitative reasoning tools can facilitate ethical and accurate science communication. Students learn the challenges of communicating about controversial topics in science and the role cultural considerations play in determining how stories are researched and told.  Letter grade only.",1,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=012305&term=1257
Fall 2025,2025-2026,CPP,670,"Professional Ethics, Legal Standards And Responsibilities","Current professional problems and ethics in the helping professions, including issues related to certification, licensure, confidentiality, forensic concerns, values, responsibilities, and professional and legal standards. Cross-listed with EPS 670. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=013167&term=1257
Fall 2025,2025-2026,CPP,711,Professionalization Group I,"This seminar addresses the roles, responsibilities, and ethical standards of the professional psychologist. Academic and professional advisement is offered in this group format as well as in individual or informal meetings with advisors. Topics may include orientation to the program and the profession, ethical and legal issues, professional education and practice issues, preparation for practicum and other training experiences, cultural and other individual differences, and general consultation on problems, difficulties, and/or questions arising during the students' academic experience. Pass/fail only.",1,,https://catalog.nau.edu/Courses/course?courseId=013175&term=1257
Fall 2025,2025-2026,CPP,712,Professionalization Group II,"This seminar addresses the roles, responsibilities, and ethical standards of the professional psychologist.  Academic and professional advisement is offered in this group format as well as in individual or informal meetings with advisors.  Topics may include orientation to the program and the profession, ethical and legal issues, professional education and practice issues, preparation for practicum and other training experiences, cultural and other individual differences, and general consultation on problems, difficulties, and/or questions arising during the students' academic experience. Pass/fail only.",1,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=013180&term=1257
Fall 2025,2025-2026,CS,386,Software Engineering,Involves applying software engineering and software architecture principles and techniques in the construction of complex computer programs in a team setting. Individualized and team writing and oral presentation tasks. Ethical issues. Letter grade only.,3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=001755&term=1257
Fall 2025,2025-2026,CS,386H,Software Engineering - Honors,Involves applying software engineering and software architecture principles and techniques in the construction of complex computer programs in a team setting. Individualized and team writing and oral presentation tasks. Ethical issues. Letter grade only.,3,,https://catalog.nau.edu/Courses/course?courseId=013832&term=1257
Fall 2025,2025-2026,DH,370,Ethics And Law In Dental Hygiene,"Integration of ethical, legal, and practical aspects of professional roles of student, team member, and dental hygienist. Letter grade only.",1,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=001924&term=1257
Fall 2025,2025-2026,EES,115,Climate Solutions,"This course introduces fundamental concepts in climate science and solutions. It surveys the evidence of global warming, its causes, and possible climate futures. Students will grasp the importance of, and pathways to, achieving net-zero emissions. The course covers policy and technology options for climate mitigation. It explores implementation challenges, governance structures, financing mechanisms, and ethical issues, including climate justice. This course is designed for students who are eager to explore practical solutions for limiting climate change. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=014287&term=1257
Fall 2025,2025-2026,EGR,333W,Technology And Society,"Exploration of issues that deal with the societal and ethical implications of widespread use of computers and electronic technology. Topics include professional ethics, lifelong learning, career development, research, teaming, writing, and oral communication. This course fulfills NAU's junior-level writing requirement. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=013224&term=1257
Fall 2025,2025-2026,EGR,386W,Engineering Design: The Methods,"Methods of engineering design, including project planning and management, effective interdisciplinary team skills, professional writing, oral communication skills, and professional ethics. This course fulfills NAU's junior-level writing requirement. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=002497&term=1257
