term,catalog_year,prefix,number,title,description,units,sections_offered,url
Fall 2025,2025-2026,ENG,479C,Editing And Publishing,"Students will learn about all forms of literary editing, including developmental editing, line editing, and copyediting. Additionally, they will study literary publishing by focusing on the aesthetic and ethics of operating literary journals and independent presses. Finally, students will help produce original content in collaboration with a literary magazine. Students will also interview authors and review books.

Editing and Publishing provides a culminating experience for an English major with an emphasis in Creative Writing: you will apply what you've learned in other courses to help produce content for an established literary magazine or blog. In your workshop and literature courses you have learned how to analyze writing; in this course you will synthesize and apply those reading skills to decide which work to publish in the magazine, and then work with authors to revise and edit their work. In addition to selecting what to publish, you will also promote the magazine, plan events, copyedit, write blogs in the form of reviews and interviews, and engage with the community of NAU, and beyond. This class is more like a job than a typical course, and applying classroom skills to a real-life product will prepare you for entry-level jobs in the editing and publishing field, and a productive future as an editor and as a writer. This course is required for students emphasizing in Creative Writing, but other majors and emphases would benefit from this course in similar ways. Letter grade only. May be repeated for up to 6 units of credit.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=012643&term=1257
Fall 2025,2025-2026,ENV,675,Topics In Environmental Discourse,"The aim of this course is to improve the basic deliberation and communication skills of students through a better understanding of the role of ethics in public perception and policy formation surrounding climate change adaptation.  Through this course, we will create an ongoing dialogue about climate change adaptation and mitigation that focuses on the importance of understanding the intertwined issues that reside at the intersection of ethics, science, and public policy.  Letter grade only.  May be repeated for up to 9 units of credit.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=011599&term=1257
Fall 2025,2025-2026,EPS,670,"Professional Ethics, Legal Standards And Responsibilities","Current professional problems and ethics in the helping professions, including issues related to certification, licensure, confidentiality, forensic concerns, values, responsibilities, and professional and legal standards. Cross-listed with CPP 670. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=003004&term=1257
Fall 2025,2025-2026,EPS,672,"Campus Crisis, Ethics, And Legal Issues In Student Affairs","This class will introduce students to basic skills required in higher education settings including assessing and responding to campus crises.  Students will become familiar with crisis intervention models and techniques, ethical and legal principles in higher education, and professional standards applied to crisis, ethical, and legal issues.  Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=011790&term=1257
Fall 2025,2025-2026,EPS,688,Counseling Assessment,"The CACREP-accredited Masters programs in School Counseling (SC) and Clinical Mental Health Counseling (CMHC) are served by this course.  This course meets and exceeds all Assessment and Testing standards from CACREP (2016), and meets and exceeds all assessment-related standards for the CMHC and SC Specialty areas.  This course also provides a comprehensive foundation of assessment theory and assessment practices related to the school counseling and clinical mental health counseling professions, and includes emphases on test construction, assessment-related statistics, needs assessments and program evaluation-related assessment, psychometric analyses of test worthiness (reliability, and validity, practicality), the ethics of assessment, multicultural competence of assessment, scope of practice themes related to assessment, and analysis of contextual factors related to clinical and school- related assessment. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=013029&term=1257
Fall 2025,2025-2026,ESE,569,Ethics In Applied Behavior Analysis And Positive Behavior Support,"Students will examine the BACB Guidelines for Responsible Conduct in the context of: (a) responsible conduct; (b) responsibility towards clients, (c) assessing behavior, (d) providing treatment, (e) acting as a teacher/supervisor, (f) conduct in their workplace, (g) responsibility to the field of behavior analysis, (h) responsibility to colleagues, (i) responsibility to society, and (j) research.  Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=011940&term=1257
Fall 2025,2025-2026,ESE,577,Ethics In Behavior Analysis,"This course explores the ethical practice of applied behavior analysis. Students will gain knowledge of ethical practice codified by the BACBÂ® and consider cultural, legal, practical, professional, and compassionate implications for practice. Students will also practice ethical problem solving as well as examine the prescribed disciplinary process and code-enforcement mechanisms. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=012850&term=1257
Fall 2025,2025-2026,FOR,511,Getting Started In Graduate Studies,"Welcome to ""Getting Started in Graduate Studies."" This 7-week online course is designed to provide new graduate students in the School of Forestry with the essential knowledge and skills needed to excel in their graduate studies. As you embark on your academic journey, you will learn about the expectations, resources, and strategies necessary for success in a graduate program. This course will cover topics such as time management, research ethics, academic writing, and effective communication. By the end of this course, you will be well-prepared to navigate your graduate studies with confidence. Letter grade only.",1,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=014258&term=1257
Fall 2025,2025-2026,GSP,421,"Land Use Planning Law, Environmental Conservation And Ethics","Introduction to the legal and ethical aspects of public planning and land development in the U.S., including the legislative processes, administrative systems and requirements, and judicial decisions that govern the planning, management, uses, and conservation in the development of land. Co-convened with GSP 521. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=010399&term=1257
Fall 2025,2025-2026,GSP,421H,"Land Use Planning Law, Environmental Conservation, And Ethics - Honors","Introduction to the legal and ethical aspects of public planning and land development in the U.S., including the legislative processes, administrative systems and requirements, and judicial decisions that govern the planning, management, uses, and conservation in the development of land. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=014144&term=1257
Fall 2025,2025-2026,GSP,521,"Land Use Planning Law, Environmental Conservation, And Ethics","Introduction to the legal and ethical aspects of public planning and land development in the U.S., including legislative processes, administrative systems and requirements, and judicial decisions that govern the planning, management, uses, and conservation in the development of land. Co-convened with GSP 421. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=010405&term=1257
Fall 2025,2025-2026,GSP,524,Fundamentals Of Environmental Law And Professional Ethics,Introduction and overview to major environmental law topics and related ethical issues for Professional Science Masters students.  Non-PSM student are welcome.  Includes fundamentals of the US legal system and applications in applied environmental fields.  Letter grade only.,1,,https://catalog.nau.edu/Courses/course?courseId=010984&term=1257
Fall 2025,2025-2026,GSP,687,Professional Development Seminar,"Seminar to develop skills for success in graduate school and future professional careers.  Focus on Professional Science Masters (PSM) skills, such as career development, research ethics and professional communication.  Open to all graduate students.  Pass/fail only.",1,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=003735&term=1257
Fall 2025,2025-2026,HA,315W,Hospitality Leadership And Ethics,"A junior-level writing-intensive course that gives a theoretical and practical overview of leadership, ethical, and communication processes characteristic of the hospitality industry. This course fulfills NAU's junior-level writing requirement. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=003895&term=1257
Fall 2025,2025-2026,HIS,475,"Topics In Medicine, Cultures, Values",Topics in the social history of medicine exploring cultural diversity and ethics in health care and policy from a comparative perspective. Topics may co-convene with HIS 540. Letter grade only. May be repeated with different topics for up to 9 units of credit.,3,,https://catalog.nau.edu/Courses/course?courseId=010296&term=1257
Fall 2025,2025-2026,HIS,475H,"Topics In Medicine, Cultures, Values - Honors",Topics in the social history of medicine exploring cultural diversity and ethics in health care and policy from a comparative perspective. Letter grade only. May be repeated for up to 9 units of credit.,3,,https://catalog.nau.edu/Courses/course?courseId=010583&term=1257
Fall 2025,2025-2026,HIS,540,Readings In European History,Topics in the social history of medicine exploring cultural diversity and ethics in health care and policy from a comparative perspective. Topics may co-convene with HIS 475. Letter grade only. May be repeated with different topics for up to 9 units of credit.,3,,https://catalog.nau.edu/Courses/course?courseId=004222&term=1257
Fall 2025,2025-2026,INT,440,Legal And Ethical Issues In Intelligence,"The responsibilities of different U.S. intelligence community members, the relationship between intelligence and policy-making processes, and legal foundations with particular emphasis on the intersection of national security and civil liberties will be highlighted.  This provides a foundation to explore the U.S. foreign intelligence apparatus, discuss its authorities, limits, and oversight mechanisms, and also explore current legal and policy issues/controversies.  Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=011161&term=1257
Fall 2025,2025-2026,JLS,105,Introduction To Journalism,"What journalists do, why society needs them, history and ethics of the journalist, differences between corporate news and independent media, technological changes, reporter as witness and documenter of history.  Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=010459&term=1257
Fall 2025,2025-2026,JLS,232,Basic Editing,"Introduces students to the editing skills needed to work professionally in many disciplines, especially in many fields related to professional communication. It covers technology, the basics of grammar and style, the interaction of word and image, and the ethics of working with writers and covering stories fairly and completely. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=004961&term=1257
Fall 2025,2025-2026,JUS,411,Criminal Justice Ethics,"This course examines theoretical approaches to ethics with an overall goal of teaching students to apply ethical approaches to contemporary criminal justice issues.  The practical focus of ethical decision-making topics will center on the impact of ethics in various criminal justice fields: law enforcement, corrections, parole/probation, and the court system. Co-convened with JUS 560. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=011163&term=1257
Fall 2025,2025-2026,JUS,560,Ethics In Justice Administration,This course examines the historical and contemporary ethical issues that impact the criminal justice fields. Focus will also be placed on critically examining criminal justice policies for any unintended ethical consequences. This course material cumulates with each student developing a comprehensive proposal for improving ethics in criminal justice. Co-convened with JUS 411. Letter grade only.,3,,https://catalog.nau.edu/Courses/course?courseId=011519&term=1257
Fall 2025,2025-2026,ME,386W,Engineering Design: The Methods,"This course explores the methods of engineering design, including project planning and management, effective multi-disciplinary team skills, professional and effective technical writing, oral communication skills, and professional ethics. A major focus of the course is to learn and apply principles of effective technical writing to produce clear, concise, grammatically correct, well-organized, well-written documents: memos, proposals, and reports. This course fulfills NAU's junior-level writing requirement. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=012917&term=1257
Fall 2025,2025-2026,MGBA,515,Leading Diverse Cultures,"This course examines the cultural implications of conducting and managing businesses in global organizations and provides tools and techniques for effective interaction and negotiation across cultures. Some of the topics presented include cultural and ethical issues, cross-cultural communications, and cultural synergy. Letter grade only.",2,,https://catalog.nau.edu/Courses/course?courseId=012168&term=1257
Fall 2025,2025-2026,MGT,340,Business Ethics,"This course covers the identification of ethical issues, analysis of the issues using a framework and multiple theories and development of conclusions and action items to resolve those issues. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=010858&term=1257
Fall 2025,2025-2026,MGT,340H,Business Ethics - Honors,"This course covers the identification of ethical issues, analysis of the issues using a framework and multiple theories and development of conclusions and action items to resolve those issues. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=012248&term=1257
Fall 2025,2025-2026,MGT,490C,Strategic Management,"Role of the general manager in dealing with strategic business challenges and providing leadership to the organization; integration of functional areas, policy formulation and implementation, multinational and ethical issues. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=000820&term=1257
Fall 2025,2025-2026,MS,202,Tactics And Officership,"Introduces basic tactical principles.  Examines roots of Army values.  Applies principles of ethical decision making.  Examines the foundations, duties, and functions of Army officers.  Analyzes officer roles in transition of the Army from Vietnam to the twenty-first century.  Letter grade only.",2,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=005549&term=1257
Fall 2025,2025-2026,MS,401,Leadership And Management,"Legal system, career planning, post and installation support, personal affairs management, written and oral communication, military professional ethics, Army logistics system, and command and staff functions. Must take lecture and lab components together. Department consent required. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=005573&term=1257
Fall 2025,2025-2026,NAUY,470C,Professional Practice And Ethics,"An integrated experience encompassing the conception, planning, and inception of a capstone project.  Includes ethical decision making, teamwork, oral and written presentations, and work in interdisciplinary teams.  Department consent required.  Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=010702&term=1257
Fall 2025,2025-2026,NTS,457,Futures In Nutrition And Foods & Dietetics,"This course provides students with the skills needed to apply for careers in the field of nutrition and dietetics, as well as graduate programs and dietetic internships. Students will learn how to market and communicate their skills and abilities pertinent to the field via resumes, cover letters, essays, applications, and interviews. Topics essential for success in the work force such as ethics and professionalism are also addressed. Letter grade only.",1,,https://catalog.nau.edu/Courses/course?courseId=012492&term=1257
Fall 2025,2025-2026,NUR,321,Gerontology,"Explore beliefs, attitudes, stereotypes about the elderly. Includes theories of aging, normal aspects and changes, ethical issues, and successful aging through interdisciplinary health promotion and risk reduction strategies. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=010068&term=1257
Fall 2025,2025-2026,NUR,321H,Gerontology - Honors,"Explore beliefs, attitudes, stereotypes about the elderly. Includes theories of aging, normal aspects and changes, ethical issues, and successful aging through interdisciplinary health promotion and risk reduction strategies. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=010963&term=1257
Fall 2025,2025-2026,NUR,652,Ethical Decision-making,"he purpose of the course is to help nurses, healthcare professionals, and other professionals to build upon existing decision-making skills emphasizing ethics, compliance, and workplace behavior in healthcare environments.  The course was developed after multiple conversations with nurse leaders throughout the country stressing the need for nurses and healthcare leaders to utilize ethical decision-making in practice and to role model integrity in their professional behaviors. This course was designed to help alleviate some of these critical nurse leadership needs in partnership with Dignity Health Global Education.  Course goals and assessments are   with the Ethics & Compliance Initiative (ECI) expectations in building and sustaining strong ethical workplace cultures and promoting integrity, and The American Organization for Nursing Leadership (AONL) Nurse Executive Leader Competencies in communication and relationship building, leadership, and professionalism.
This course is not exclusive to nurses and is open to healthcare professionals and others to need to enhance their personal and organizational decision-making skills with attention to ethical behavior, compliance in the workplace. The course can be taken individually (non-degree seeking), as the first course in the Graduate Certificate in Strategic Systems Leadership or Ethical and Crisis Management, or the course can stack into the MS in Nursing Strategic Systems Leadership degree. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=013704&term=1257
Fall 2025,2025-2026,PADM,411,"Ethics, Policy And Administration","This course examines alternative approaches to ethics and relates them to the context of politics and public policy, at a variety of administrative levels.  Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=009913&term=1257
Fall 2025,2025-2026,PE,450,Physical Education Fieldwork Experience,"Clinical application and refinement of effective teaching skills and curriculum development. Course requires teacher candidates to successfully complete the accredited training module in professional responsibility and ethical conduct. This training centers around the national framework known as the Model Code of Ethics for Educators (MCEE). 3 hrs/week lecture, 7.5 hrs/week for 6 weeks practicum. Letter grade only.",4,,https://catalog.nau.edu/Courses/course?courseId=012822&term=1257
Fall 2025,2025-2026,PHA,540,Ethics And Professionalism,"This lecture/small workgroup course will focus on principles related to medical ethics and professionalism which will include:  professional conduct, cultural humility, health care delivery systems, health policy, PA licensure/credentialing, medico-legal issues, ethics and physician-PA relationship.  The goal is to help students professionally interact with patients, health care providers and ancillary staff in a respectful, ethical and culturally competent manner.  Letter grade only.",2,,https://catalog.nau.edu/Courses/course?courseId=010777&term=1257
Fall 2025,2025-2026,PHI,105,Introduction To Ethics,Introduces philosophical analysis of the ethical life.  Reading and critical discussion of both classical and contemporary texts.  Letter grade only.,3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=006458&term=1257
Fall 2025,2025-2026,PHI,105H,Introduction To Ethics - Honors,Introduces philosophical analysis of the ethical life.  Reading and critical discussion of both classical and contemporary texts.  Letter grade only.,3,,https://catalog.nau.edu/Courses/course?courseId=010011&term=1257
Fall 2025,2025-2026,PHI,151,Introduction To Indigenous Philosophy,"This course is an introduction to the study of global Indigenous philosophies. Topics to be covered may include: the historical exclusion of Indigenous perspective from the Western philosophical canon, Indigenous philosophical methodology, Indigenous social, political and legal philosophy, Indigenous metaphysics and worldviews, Indigenous perspectives on land, ecology, and environmental ethics, Indigenous philosophy of religion. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=014317&term=1257
Fall 2025,2025-2026,PHI,303,Decision Theory,"Theory of rational decision-making, applications of the theory to ethics and economics, and discussion of philosophical problems arising from the constructs employed by the theory (e.g., probability and utility).  Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=010605&term=1257
Fall 2025,2025-2026,PHI,303H,Decision Theory - Honors,"Theory of rational decision-making, applications of the theory to ethics and economics, and discussion of philosophical problems arising from the constructs employed by the theory (e.g., probability and utility).  Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=010606&term=1257
Fall 2025,2025-2026,PHI,325,Topics In Ethics,Specific topic to be announced in the Schedule of Classes.  Letter grade only.  May be repeated for up to 12 units of credit as topic varies.,3,,https://catalog.nau.edu/Courses/course?courseId=006477&term=1257
Fall 2025,2025-2026,PHI,325H,Topics In Ethics - Honors,Specific topic to be announced in the Schedule of Classes.  Letter grade only.  May be repeated for up to 12 units of credit as topic varies.,3,,https://catalog.nau.edu/Courses/course?courseId=006478&term=1257
Fall 2025,2025-2026,PHI,331,Environmental Ethics,Critical examination of the moral reasons for protecting and preserving the environment.  Letter grade only.,3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=006480&term=1257
Fall 2025,2025-2026,PHI,331H,Environmental Ethics - Honors,Critical examination of the moral reasons for protecting and preserving the environment.  Letter grade only.,3,,https://catalog.nau.edu/Courses/course?courseId=006481&term=1257
Fall 2025,2025-2026,PHI,332,Health Care Ethics,"Moral examination of topics in bioethics, such as abortion, euthanasia, genetic testing, and justice in the distribution of health care.  Letter grade only. Recommended: 3 units of philosophy (PHI) coursework.",3,Summer 2026,https://catalog.nau.edu/Courses/course?courseId=006482&term=1257
Fall 2025,2025-2026,PHI,332H,Health Care Ethics - Honors,"Moral examination of topics in bioethics, such as abortion, euthanasia, genetic testing, and justice in the distribution of health care. This course fulfills NAU's junior-level writing requirement.  Letter grade only. Recommended: 3 units of philosophy (PHI) coursework.",3,,https://catalog.nau.edu/Courses/course?courseId=010579&term=1257
Fall 2025,2025-2026,PHI,334,Ethics And Technology,"This course surveys and critically evaluates theories of personal moral responsibility and social justice, especially in light of modern problems and expectations with respect to technology. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=012944&term=1257
Fall 2025,2025-2026,PHI,335,Ethics And Disability,"This course examines disability from a philosophical, and especially ethical perspective. It brings the experience of disability to bear on the domain of philosophy to discover whether philosophers have been flawed in fundamental ethical concepts and theories while using the methods and skills of philosophy to help understand disability in new and illuminating ways. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=011588&term=1257
Fall 2025,2025-2026,PHI,335H,Ethics And Disability - Honors,"This course examines disability from a philosophical, and especially ethical perspective. It brings the experience of disability to bear on the domain of philosophy to discover whether philosophers have been flawed in fundamental ethical concepts and theories while using the methods and skills of philosophy to help understand disability in new and illuminating ways. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=014142&term=1257
Fall 2025,2025-2026,POS,527,Ethics Of Public Administration And Management,"This course examines alternative approaches to ethics in the context of public administration and management, and at the level of individuals, organizations, society, culture, and politics.  Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=010042&term=1257
Fall 2025,2025-2026,POS,537,Public Policy Ethics,This course is an examination of the role of ethics and different ethical arguments in debates over important contemporary public policy issues,3,,https://catalog.nau.edu/Courses/course?courseId=013901&term=1257
Fall 2025,2025-2026,POS,691,Professional Development Seminar,"Introduces the political science profession. Topics include strategies, techniques, and issues of teaching, professional ethics, research and publishing. Required for graduate student instructors. May be repeated for up to 6 units of credit. Pass-fail only.",1-3,,https://catalog.nau.edu/Courses/course?courseId=006946&term=1257
Fall 2025,2025-2026,PRM,165,Ai And The Future Of Fun,"AI and the Future of Fun is a 3-credit course examining how artificial intelligence is changing the very nature of leisure. As AI enables new forms of creativity, travel, gaming, and more, it also raises questions about the technology's broader social impact. The course will explore how AI-powered systems may increase accessibility and personalization of recreational experiences while potentially displacing human roles. Students will learn technical foundations alongside ethical issues like privacy, bias, and job loss. Our leisure time is among our most personal spaces; the course investigates this human-AI intersection so we can shape recreational futures with eyes wide open to both profound promise and pitfalls. The very meaning of fun itself may transform - examining this key part of the human experience will shed light on deeper changes afoot. Beyond receiving practical skills, students will contemplate and discuss what it means to be human in an increasingly automated world where recreation is ever more entwined with intelligent machines. This course is open to all students from any major. Letter grade only.",3,Summer 2026,https://catalog.nau.edu/Courses/course?courseId=014168&term=1257
Fall 2025,2025-2026,PRM,411,Leave-no-trace Master Educator Certification,Meets national standards for LNT Master Educator Certification. Students learn to teach minimum impact outdoor ethics and lead Leave-No-Trace Trainer courses and Awareness Workshops. Required four night backpacking trip. Letter grade only.,3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=010342&term=1257
Fall 2025,2025-2026,PSY,290,Research Methods In Psychology,"Research methods in psychology is designed to teach students about the research principles in psychological science with the primary goal of the course being to learn about and evaluate the processes and methods used to conduct psychological research. The focus of this course is on the consumption of psychological science. Students will be familiarized with scientific reasoning, basic research designs and methodology, historical and contemporary issues in research ethics, measurement, and application and interpretation of appropriate statistical tests. In addition, this course teaches basic writing skills for psychological research as well as critical thinking skills. The skills you obtain during this course will prepare you for advanced coursework in psychology. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=007204&term=1257
Fall 2025,2025-2026,PT,644,Ethics And Professionalism In Physical Therapy Practice,"This course will provide students training in and knowledge of relevant ethical issues affecting physical therapist practice, research, and education.  It will prepare students to apply ethical reasoning skills to such issues as management of patient confidentiality, maintenance of professional boundaries, and health care rationing.  Letter grade only.",2,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=011776&term=1257
Fall 2025,2025-2026,SW,456,Social Work Values And Ethics,"The course focuses on the foundations for ethical reasoning in practice. Students will interact with controversial case material, utilizing social work values, code of ethics and philosophic ethics. The course focuses on acquiring and practicing the skills of ethical decision-making, including values clarification, application of ethical theory, utilization of codes of ethics, and models of ethical analysis. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=013019&term=1257
Fall 2025,2025-2026,SW,521,Foundation Practice I,"This is the first half of two required sequential courses in the Professional Foundation Year. The Ecological Systems Model, strengths perspective and planned change processes applied to Generalist Social Work Practice are introduced and explored. Throughout this course, students examine social work values and ethics and consider how issues of diversity impact client systems. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=012546&term=1257
